b0100013660;Конвектор Универсал ТБ-А-С КСК-20 1,000кВт прох без з/у резьба прав/лев тип У16А Сантехпром;2;Отопительное оборудование;Конвекторы;Сантехпром;Z;NL;1 966,26;2 064,57;0501-01922;&;2;8
b0100014006;Штуцер латунь Дн32х1" для PE-X ВР Uponor 1047866 (1001270);13;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;Z;NL;632,99;1 373,1;0104-00075;@;1;0
b9300044325;Кран шаровой латунь Стандарт 220 11б27п1 Ду20 ВР/ВР рычаг ГАЛЛОП 103182;478;Запорная арматура;Краны;ГАЛЛОП;S;Pz;121,66;194,66;0301-02468;@;0;0
b9300048180;Котел газ настенный VICTORIA COMPACT CTFS 24AF 23,7кВт Fondital CVAR02CA24;10;Котлы и горелки;Котлы газовые;Fondital;Q;D0;24 612;39 379,2;;&;0;0
b9300048565;Задвижка 30ч925бр чугун Ду1000 Ру2,5;1;Запорная арматура;Задвижки;_;Z;D0;279 955;447 928;;@;0;0
b0200039281;Конвектор F117 DESIGN 1кВт 220В эл  ATLANTIC 513810;1;Отопительное оборудование;Конвекторы;ATLANTIC;Z;NL;2 048;3 200;;@;1;0
b0100019815;Картридж для смесителя 40мм без ножек  Varion 6120040;1;Сантехника;Смесители и краны для сан.узлов;Varion;Z;NL;210,71;221,25;0909-01191;@;1;0
b0100019856;Насос дренажный Unilift CC 5 A1 Grundfos 96280966;3;Насосное оборудование;Насосы и насосные установки;Grundfos;Q;D0;5 526,99;13 886,63;0801-00013;&;0;0
b0100015503;Решётка вентиляцион МВМ 150 с Вентс;1;Сантехника;Мебель и аксессуары для ванной комнаты;Вентс;Z;NL;61,75;47;;&;2;8
b0100014753;Муфта PP-R усиленн комбинированн разъемн Дн40х1 1/2" НР ПК Контур 011301040500;23;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;427,24;918,8;0105-01157;&;0;0
b0100008261;Труба сталь эл/св оц Дн57х3,5 ТМК;201,9;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;Pz;245,58;357,85;0101-01441;@;0;0
b9300048604;Водонагреватель эл  1,8кВт ONDEO 10A ATLANTIC 821344;1;Водонагреватели;Водонагреватели электрические накопительные;ATLANTIC;Z;D0;4 760;7 000;;@;0;0
b9300043370;Смеситель для мойки настольн короткий излив ручка 44 хирургическ одноручный  Подольск ЦС-СМ-27/1;0;Сантехника;Смесители и краны для сан.узлов;Подольск;Z;D0;805,06;1 288,1;;@;0;0
b9300043503;Кран  латунь 10б19бк1 Ду6  с ниппелем ПАЗ;49;Запорная арматура;Краны;ПАЗ;Z;D0;303,79;318,98;0301-01385;@;0;0
b0100019767;Тройник латунь переходн Дн20х3/4"х20 Faro пресс ВР для мп STC 6518;1;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;STC;Q;D0;142,22;166,73;0103-00390;&;0;0
b0100021202;Радиатор сталь панельный Classic 22 300х1200 1674Вт бок прав/лев PRADO;4;Отопительное оборудование;Радиаторы;PRADO;Z;NL;2 570,85;2 699,39;0502-01640;@;1;0
b9300044583;Заглушка сталь эллиптическая Дн32х2,0 п/привар ГОСТ 17379-2001 Гидрозатвор;5;Трубопроводы и соединительные части;Труба стальная и соединительные части;Гидрозатвор;Q;D0;7,53;12,05;;&;0;0
b0100014116;Клапан запорн латунь 15б3р Ду20 Ру10  ВР/ВР  STC 0100;257;Запорная арматура;Клапаны;STC;S;P2;122,66;196,26;0304-00002;&;0;0
b9300048844;Тройник PP-R комбинированн белый Дн32х1/2" НР ПК Контур 011511032100;39;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;81,75;175,8;;&;0;0
b0100000799;Кронштейн для чуг/рад  К6.7.20 кругл штырьевой с дюбелем Киров К6.10.20;217;Отопительное оборудование;Радиаторы;Киров;S;Pz;15,78;25,49;0502-01117;&;0;0
b0100030440;Термостат стержневой RTD 20A 70гр./83гр. (181314R) (ЧЕЛЯБ);1;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;387,34;358;;&;2;8
b9300044035;Кран шаровой латунь Стандарт 222 11б27п1 Ду25 ВР/нак.г рычаг ГАЛЛОП 103158;4;Запорная арматура;Краны;ГАЛЛОП;S;D0;362,25;585,9;0301-02522;@;0;0
