00000000458;Сгон сталь Ду32 L=130мм б/комплекта из труб по ГОСТ 3262-75 КАЗ;225;Трубопроводы и соединительные части;Труба стальная и соединительные части;КАЗ;S;P2;19,47;34;0101-00069;@;0
00000000459;Сгон сталь Ду40 L=150мм б/комплекта из труб по ГОСТ 3262-75 КАЗ;35;Трубопроводы и соединительные части;Труба стальная и соединительные части;КАЗ;S;D0;27,51;48;0101-00070;@;0
00000000463;Манжет выпускн Ду110 Симтек;2;Изоляция и уплотнение;Уплотнительные материалы;Симтек;S;P2;7,34;12;;&;0
00000000465;Пробка для чуг/рад _ _ проходн 1 1/4"х1/2" прав НТКРЗ;63;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;21,32;35;0502-00954;@;0
00000000466;Заглушка для чуг/рад чугун _ 1 1/4" лев НТКРЗ;22;Отопительное оборудование;Радиаторы;НТКРЗ;S;P2;20,71;35;0502-00955;@;0
00000000467;Заглушка для чуг/рад чугун _ 1 1/4" прав НТКРЗ;3;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;20,71;35;0502-00956;@;0
00000000468;Пробка для чуг/рад _ _ проходн 1 1/4"х1/2" лев НТКРЗ;42;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;21,32;35;0502-00957;@;0
00000000469;Сиденье для унитаза пластик  белый исп1;25;Сантехника;Унитазы;_;S;D0;103,37;164;0902-00077;@;0
00000000470;Ниппель для чуг рад межсекц   НТКРЗ;21;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;15;26;0502-00958;@;0
00000000472;Пробка для чуг/рад _ _ проходн 1 1/4"х3/4" лев НТКРЗ;20;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;21,32;35;0502-00959;@;0
00000000473;Пробка для чуг/рад _ _ проходн 1 1/4"х3/4" прав НТКРЗ;31;Отопительное оборудование;Радиаторы;НТКРЗ;S;D0;21,32;35;0502-00960;@;0
00000000483;Труба чугун канализационн Ду50 б/нап L=2м ГОСТ 6942-98 Людиново;8;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;D0;646,64;995;0108-00001;&;0
00000000484;Труба чугун канализационн Ду100 L=2,0м ГОСТ 6942-98 Людиново;116;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;P2;1 170,56;1 801;0108-00374;&;0
00000000490;Ревизия чугун канализационн Дн50 б/нап ГОСТ 6942-98 Людиново;2;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;Z;NL;195,24;264;0108-00016;&;0
00000000494;Тройник чугун кос Ду100х100х45° б/нап ГОСТ 6942-98 Людиново;21;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;P2;514,82;770;0108-00010;@;0
00000000498;Отвод чугун канализационн Ду100х135° б/нап ГОСТ 6942-98 Людиново;30;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;D0;230,22;344;0108-00002;@;0
00000000502;Патрубок чугун канализационн Ду100х50 б/нап ГОСТ 6942-98 переходн;8;Трубопроводы и соединительные части;Труба чугунная и соединительные части;_;S;P2;117,75;158;0108-00014;&;0
00000000506;Люк чугун канализационный К тип Т m=97кг ГОСТ 3634-99;15;Водоотведение;Люки и дождеприемники;_;S;D0;3 543,53;5 082;0203-00018;@;0
00000000507;Трап чугун верт слив Ду100 б/нап ТУ 4925-569(1)-00284581-95;11;Водоотведение;Трапы, колодцы, воронки;_;S;D0;1 287,5;2 029;;&;0
00000000508;Трап чугун верт слив Ду50 б/нап ТУ 4925-569(1)-00284581-95;20;Водоотведение;Трапы, колодцы, воронки;_;S;D0;751,9;1 220;;&;0
00000000511;Тройник чугун кос Дн150х100х45° б/нап ГОСТ 6942-98 Людиново;5;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;P2;717,56;1 073;0108-00076;&;0
00000000513;Муфта чугун канализационн Ду150 б/нап ГОСТ 6942-98 Людиново;18;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;NL;390,98;528;0108-00074;&;0
00000000515;Контргайка чугун Ду15  ГОСТ 8961-75;190;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;4,38;8;0111-00233;&;0
00000000516;Контргайка чугун Ду20  ГОСТ 8961-75;160;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;5,03;8;0111-00234;&;0
00000000517;Контргайка чугун Ду25  ГОСТ 8961-75;326;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;9,68;17;0111-00235;&;0
00000000518;Контргайка чугун Ду32  ГОСТ 8961-75;60;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;14,33;24;0111-00236;&;0
00000000519;Контргайка чугун Ду40  ГОСТ 8961-75;41;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;14,81;25;0111-00237;&;0
00000000522;Контргайка чугун оц Ду50  ГОСТ 8961-75;6;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;34,08;58;0111-00035;&;0
00000000524;Контргайка чугун оц Ду15  ГОСТ 8961-75;133;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;6,18;10;0111-00036;&;0
00000000525;Контргайка чугун оц Ду25  ГОСТ 8961-75;150;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;12,01;20;0111-00037;&;0
00000000526;Контргайка чугун оц Ду20  ГОСТ 8961-75;68;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;7,65;12;0111-00038;&;0
00000000527;Контргайка чугун оц Ду32  ГОСТ 8961-75;5;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;17,48;29;0111-00039;&;0
00000000533;Муфта чугун Ду15 ВР/ВР коротк ГОСТ 8954-75;606;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;9,22;16;0111-00247;&;0
00000000534;Муфта чугун Ду20 ВР/ВР коротк ГОСТ 8954-75;372;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;13,42;23;0111-00248;&;0
00000000535;Муфта чугун Ду25 ВР/ВР коротк ГОСТ 8954-75;241;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;17,58;29;0111-00249;&;0
00000000536;Муфта чугун Ду32 ВР/ВР коротк ГОСТ 8954-75;40;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;28,91;49;0111-00250;&;0
00000000537;Муфта чугун Ду40 ВР/ВР коротк ГОСТ 8954-75;12;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;35,88;61;0111-00251;&;0
00000000538;Муфта чугун Ду50 ВР/ВР коротк ГОСТ 8954-75;39;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;56,05;96;0111-00252;&;0
00000000539;Муфта чугун оц Ду15 ВР/ВР коротк ГОСТ 8954-75;116;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;11,47;20;0111-00025;&;0
00000000540;Муфта чугун оц Ду20 ВР/ВР коротк ГОСТ 8954-75;121;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;16,78;28;0111-00026;&;0
00000000541;Муфта чугун оц Ду25 ВР/ВР коротк ГОСТ 8954-75;104;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;22,42;37;0111-00027;&;0
00000000542;Муфта чугун оц Ду32 ВР/ВР коротк ГОСТ 8954-75;19;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;36,54;62;0111-00028;&;0
00000000544;Муфта чугун оц Ду50 ВР/ВР коротк ГОСТ 8954-75;4;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;70,72;120;0111-00030;&;0
00000000550;Муфта чугун переходн Ду32х25 ВР/ВР ГОСТ 8957-75;18;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;32,67;56;0111-00257;&;0
00000000551;Тройник чугун Ду15  ГОСТ 8948-75;66;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;17,58;29;0111-00260;&;0
00000000552;Тройник чугун Ду20  ГОСТ 8948-75;25;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;26,81;45;0111-00261;&;0
00000000553;Тройник чугун Ду25  ГОСТ 8948-75;19;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;40,21;69;0111-00262;&;0
00000000554;Тройник чугун Ду32  ГОСТ 8948-75;4;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;D0;62,84;107;0111-00263;&;0
00000000557;Тройник чугун оц Ду15  ГОСТ 8948-75;12;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;NL;22,07;37;0111-00040;&;0
00000000558;Тройник чугун оц Ду20  ГОСТ 8948-75;35;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;33,55;57;0111-00041;&;0
00000000559;Тройник чугун оц Ду25  ГОСТ 8948-75;8;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;NL;50,32;85;0111-00042;&;0
00000000560;Тройник чугун оц Ду32  ГОСТ 8948-75;18;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;NL;79,45;134;0111-00043;&;0
00000000568;Угольник чугун Ду15  ГОСТ 8946-75;29;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;13,42;23;0111-00271;&;0
00000000569;Угольник чугун Ду20  ГОСТ 8946-75;35;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;17,58;29;0111-00272;&;0
00000000570;Угольник чугун Ду25  ГОСТ 8946-75;20;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;26,81;45;0111-00273;&;0
00000000571;Угольник чугун Ду32  ГОСТ 8946-75;15;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;49,45;84;0111-00274;&;0
00000000573;Угольник чугун Ду50  ГОСТ 8946-75;2;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;118,57;202;0111-00276;&;0
00000000574;Угольник чугун оц Ду15  ГОСТ 8946-75;20;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;16,94;28;0111-00063;&;0
00000000576;Угольник чугун оц Ду25  ГОСТ 8946-75;8;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;P2;34,61;61;0111-00065;&;0
00000000577;Угольник чугун оц Ду32  ГОСТ 8946-75;30;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;_;S;NL;61,96;105;0111-00066;&;0
00000000586;Фланец сталь плоск Ду15 Ру16 ГОСТ 12820-80;171;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;69,62;102;0101-00195;&;0
00000000587;Фланец сталь плоск Ду20 Ру16 ГОСТ 12820-80;19;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;69,62;103;0101-00196;@;0
00000000588;Фланец сталь плоск Ду50 Ру10 ГОСТ 12820-80;385;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;143,96;205;0101-00182;@;0
00000000589;Фланец сталь плоск Ду50 Ру16 ГОСТ 12820-80;184;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;148,68;242;0101-00001;@;0
00000000590;Фланец сталь плоск Ду80 Ру10 ГОСТ 12820-80;43;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;207,68;296;0101-00183;@;0
00000000591;Фланец сталь плоск Ду80 Ру16 ГОСТ 12820-80;149;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;243,08;346;0101-00194;@;0
00000000592;Фланец сталь плоск Ду100 Ру10 ГОСТ 12820-80;2;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;257,24;382;0101-00184;&;0
00000000593;Фланец сталь плоск Ду100 Ру16 ГОСТ 12820-80;116;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;310,34;442;0101-00193;@;0
00000000595;Фланец сталь плоск Ду150 Ру16 ГОСТ 12820-80;32;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;539,26;768;0101-00192;@;0
00000000596;Фланец сталь плоск Ду40 Ру10 ГОСТ 12820-80;10;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;116,82;174;0101-00186;&;0
00000000597;Фланец сталь плоск Ду32 Ру10 ГОСТ 12820-80;14;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;102,66;152;0101-00187;&;0
00000000598;Фланец сталь плоск Ду25 Ру16 ГОСТ 12820-80;52;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;88,5;131;0101-00189;@;0
00000000599;Фланец сталь плоск Ду32 Ру16 ГОСТ 12820-80;74;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;101,48;144;0101-00190;@;0
00000000600;Фланец сталь плоск Ду40 Ру16 ГОСТ 12820-80;46;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;133,34;198;0101-00191;@;0
00000000604;Фланец сталь плоск Ду65 Ру10 ГОСТ 12820-80;10;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;182,9;261;0101-00175;@;0
00000000605;Фланец сталь плоск Ду65 Ру16 ГОСТ 12820-80;57;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;194,7;302;0101-00200;@;0
00000000606;Фланец сталь плоск Ду250 Ру16 ГОСТ 12820-80;14;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;Pz;1 071,44;1 526;0101-00201;@;0
00000000607;Фланец сталь плоск Ду100 Ру25 ГОСТ 12820-80;10;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;376,42;537;0101-00207;&;0
00000000640;Отвод сталь крутоизогнутый Дн114х4,0 ГОСТ 17375-2001 ПЗКТ;13;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;170;273;0101-01107;@;0
00000000648;Фланец сталь плоск Ду200 Ру16 ГОСТ 12820-80;7;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;673,78;1 097;0101-00198;@;0
00000000654;Прокладка для бачка круглая Симтек;2;Изоляция и уплотнение;Уплотнительные материалы;Симтек;S;P2;7,98;13;1002-00015;&;0
00000000661;Прокладка кольцевая паронит Ду50 Ру10-40  ГОСТ 15180-86;293;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;3,75;9;1002-00018;&;0
00000000662;Прокладка кольцевая паронит Ду150 Ру10-16  ГОСТ 15180-86;117;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;12,04;26;1002-00114;&;0
00000000667;Конвектор Комфорт КН-20 1,805кВт конц с мех.заслонкой п/привар прав/лев грунт Новокузнецк;2;Отопительное оборудование;Конвекторы;Новокузнецк;Z;NL;1 361,85;2 011;;@;0
00000000685;Умывальник Водолей белый 1 отверстие 2 величины б/комплекта Лобня 023-0284;64;Сантехника;Умывальники;Лобня;S;D0;520,91;774;;@;0
00000000689;Мойка сталь нерж Трио накладн 600х600х0,4мм лев;2;Сантехника;Мойки;_;S;P2;548,66;815;0906-00006;&;0
00000000695;Прокладка кольцевая паронит Ду100 Ру25-40  ГОСТ 15180-86;42;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;8,28;21;1002-00116;&;0
00000000696;Прокладка кольцевая паронит Ду150 Ру25-40  ГОСТ 15180-86;1;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;13,32;30;1002-00117;&;0
00000000697;Крестовина чугун канализационн Ду100х100х45° б/нап ГОСТ 6942-98 кос Людиново;1;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;Z;NL;617,54;960;0108-00090;&;0
00000000718;Затвор обратный   Ду15  ВР/ВР горизонт;28;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;_;Z;NL;261;353;0405-00142;&;0
00000000721;Переход сталь Дн219х108 ГОСТ 17378-2001 ПЗКТ;5;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;302,34;532;0101-00747;@;0
00000000744;Отвод сталь крутоизогнутый оц Дн45х3,0 ГОСТ 17375-2001;25;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;40;64;0101-00605;@;0
00000000745;Переход сталь Дн57х45 ГОСТ 17378-2001 ПЗКТ;13;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;19,68;34;0101-00105;@;0
00000000746;Переход сталь Дн108х57 ГОСТ 17378-2001 ПЗКТ;27;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;52,22;93;0101-00765;@;0
00000000747;Переход сталь Дн133х89 ГОСТ 17378-2001 ПЗКТ;8;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;92,18;163;0101-00766;&;0
00000000748;Переход сталь Дн133х108 ГОСТ 17378-2001 ПЗКТ;16;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;91,34;161;0101-00767;@;0
00000000749;Переход сталь Дн159х108 ГОСТ 17378-2001 ПЗКТ;12;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;136,69;240;0101-00768;@;0
00000000750;Переход сталь Дн159х89 ГОСТ 17378-2001 ПЗКТ;6;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;131,94;232;0101-00769;@;0
00000000751;Переход сталь Дн219х159 ГОСТ 17378-2001 ПЗКТ;4;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;236,32;416;0101-00748;@;0
00000000753;Переход сталь Дн45х38 ГОСТ 17378-2001 ПЗКТ;8;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;14,66;26;0101-00758;@;0
00000000754;Переход сталь Дн89х76 ГОСТ 17378-2001 ПЗКТ;38;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;33,8;60;0101-00759;@;0
00000000755;Переход сталь Дн133х76 ГОСТ 17378-2001 ПЗКТ;3;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;96,88;171;0101-00760;&;0
00000000756;Переход сталь Дн159х133 ГОСТ 17378-2001 ПЗКТ;7;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;138,73;244;0101-00761;@;0
00000000757;Переход сталь Дн38х32 ГОСТ 17378-2001 ПЗКТ;7;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;13,61;24;0101-00762;@;0
00000000759;Переход сталь Дн57х32 ГОСТ 17378-2001 ПЗКТ;16;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;19,25;33;0101-00106;@;0
00000000761;Кран шаровой латунь 11б27п1 Ду32 ВР/ВР рычаг БАЗ А300мм;86;Запорная арматура;Краны;БАЗ;S;D0;378,13;562;0301-00551;@;0
00000000782;Переход сталь Дн45х32 ГОСТ 17378-2001 ПЗКТ;11;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;14,14;25;0101-00104;@;0
00000000792;Клапан предохранительный   Ду32 НР;11;Регулирующая и предохр арматура и автоматика;Клапаны предохранительные;_;Z;NL;930,31;1 257;0404-00036;&;0
00000000794;Клапан предохранительный   Ду50 НР;1;Регулирующая и предохр арматура и автоматика;Клапаны предохранительные;_;Z;NL;1 691,88;1 935;0404-00038;&;0
00000000806;Переход сталь Дн57х38 ГОСТ 17378-2001 ПЗКТ;20;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;19,32;33;0101-00763;@;0
00000000813;Крепление для умывальника D8x100 шуруп D12х60 дюбель;80;Сантехника;Умывальники;_;S;D0;12,47;18;0903-00056;@;0
00000000825;Трап чугун горизонт слив Ду50 б/нап ГОСТ 1811-97;9;Водоотведение;Трапы, колодцы, воронки;_;S;D0;592,57;970;;&;0
00000000828;Фланец сталь плоск Ду125 Ру16 ГОСТ 12820-80;10;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;433,06;617;0101-00202;@;0
00000000887;Паронит ПОН Б 1,0мм 1500х1000 АТИ;1;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;P2;385,9;607;1002-00171;&;0
00000000890;Паронит ПОН Б 3,0мм 1770х1000 АТИ;45;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;P2;936,99;1 474;1002-00173;&;0
00000000891;Паронит ПОН Б 4,0мм 1770х1000 АТИ;9;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;P2;1 233,12;1 939;1002-00174;&;0
00000000900;Фланец сталь воротниковый Ду80 Ру16 ГОСТ 12821-80;1;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;457,84;652;0101-00135;&;0
00000000924;Прокладка резина  1/2";10;Сантехника;Подводка гибкая;_;S;P2;0,47;2;0912-00332;&;0
00000000925;Прокладка резина  3/4";30;Сантехника;Подводка гибкая;_;S;P2;0,64;3;0912-00333;&;0
00000000932;Лента монтажн ФУМ М1 ВС 500гр 20мм;32;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;450,23;743;1002-00146;&;0
00000000961;Набивка сальников АП-31 6мм АТИ;9;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;D0;184,06;291;1002-00178;&;0
00000000963;Набивка сальников АП-31 10мм АТИ;15;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;D0;175,29;276;1002-00180;&;0
00000001011;Переход рифлен резина 50х25 Снежинск;43;Изоляция и уплотнение;Уплотнительные материалы;Снежинск;S;P2;10,23;16;0908-00329;&;0
00000001012;Переход рифлен резина 50х32 Снежинск;4;Изоляция и уплотнение;Уплотнительные материалы;Снежинск;S;D0;10,23;16;0908-00330;&;0
00000001013;Переход рифлен резина 50х40 Снежинск;14;Изоляция и уплотнение;Уплотнительные материалы;Снежинск;S;D0;9,98;16;0908-00331;&;0
00000001045;Тройник чугун Ду100х100х90° б/нап ГОСТ 6942-98 Людиново;26;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Людиново;S;P2;439;683;0108-00012;@;0
00000001050;Заглушка чугун канализационн Ду100 б/нап Новокузнецк;15;Трубопроводы и соединительные части;Труба чугунная и соединительные части;Новокузнецк;S;P2;375,88;562;;@;0
00000001056;Заглушка сталь эллиптическая Дн159х4,5 п/привар ГОСТ 17379-2001;11;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;P2;132,55;213;0101-00805;&;0
00000001081;Манжет переходн чугун/пластик резина Ду123х110;54;Изоляция и уплотнение;Уплотнительные материалы;;S;D0;15,39;23;1002-00013;&;0
00000001132;Прокладка кольцевая паронит Ду32 Ру10-40  ГОСТ 15180-86;20;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;2,32;6;1002-00019;&;0
00000001133;Прокладка кольцевая паронит Ду40 Ру10-40  ГОСТ 15180-86;1;Изоляция и уплотнение;Уплотнительные материалы;_;S;D2;3,01;7;1002-00020;&;0
00000001155;Кран для манометра 11б38бк/11б18бк M20х1,5 3-ход с контрольным фл ПАЗ;20;Приборы учета и КИП;Комплектующие для КИП;ПАЗ;S;D0;119,99;171;0702-00001;&;0
00000001158;Паронит ПОН Б 2,0мм 1770х1000 АТИ;18;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;P2;600,97;950;1002-00191;&;0
00000001188;Манжет переходн чугун/пластик резина Ду73х50;30;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;10,77;18;1002-00012;&;0
00000001197;Автоматический воздухоотводчикFer80D1/2";2;Отопительное оборудование;Воздухоотводчики;;Z;D0;88,39;92;;&;0
00000001199;Люк чугун канализационный К тип Л m=64кг;19;Водоотведение;Люки и дождеприемники;_;S;D0;2 928,44;4 200;0203-00019;@;0
00000001241;Прокладка паронит Ду80 Ру10-16 АТИ;97;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;P2;9,1;14;1002-00193;&;0
00000001242;Прокладка паронит Ду50 Ру10-16 АТИ;50;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;D1;5,31;8;1002-00194;&;0
00000001243;Прокладка паронит Ду40 Ру10-16 АТИ;42;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;D0;3,33;8;1002-00195;&;0
00000001244;Прокладка паронит Ду32 Ру10-16 АТИ;50;Изоляция и уплотнение;Уплотнительные материалы;АТИ;S;D0;3,74;6;1002-00196;&;0
00000001309;Смеситель для умывальника пластик р/затвор б/подводки пл/маховик СМ733 Казань 101007(14970);5;Сантехника;Смесители и краны для сан.узлов;Казань;S;D0;405,5;594;0909-00472;@;0
00000001312;Подводка гибкая  H1/2"-H1/2" L=0,5м STC 6090;5;Сантехника;Подводка гибкая;STC;S;P2;61,14;124,93;0912-00058;&;0
00000001313;Подводка гибкая  M1/2"-H1/2" L=0,5м STC 6080;33;Сантехника;Подводка гибкая;STC;S;P2;58,47;120,96;0912-00155;&;0
00000001315;Подводка гибкая  M1/2"-H1/2" L=0,6м STC 6080;3;Сантехника;Подводка гибкая;STC;S;D0;62,89;130,21;0912-00157;&;0
00000001319;Подводка гибкая  M1/2"-H1/2" L=0,8м STC 6080;18;Сантехника;Подводка гибкая;STC;S;P2;52,6;130,21;0912-00156;@;0
00000001330;Фильтр сетчатый латунь Y Ду20 STC 3001;14;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;STC;S;D0;183,09;308,68;0406-00020;@;0
00000001346;Прокладка для чуг/рад паронит  межсекционная  008-0468;147;Отопительное оборудование;Радиаторы;_;S;D0;1,81;5;1002-00009;&;0
00000001484;Кран-букса  М18х1 сумы КБТ;4;Сантехника;Смесители и краны для сан.узлов;_;S;D2;17,77;29;0909-00697;&;0
00000001485;Кран шаровой латунь газ 11б27п Ду15 ВР/ВР <> рычаг БАЗ;4;Запорная арматура;Краны;БАЗ;S;P2;88,9;125;0301-00033;&;0
00000001486;Кран шаровой латунь газ 11б27п Ду20 ВР/ВР <> рычаг БАЗ;2;Запорная арматура;Краны;БАЗ;S;P2;130,65;183;0301-00034;&;0
00000001570;Клапан обратный  4001 Ду15   пружинный STC;88;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;D0;105,25;203,58;0405-00001;&;0
00000001571;Клапан обратный  4001 Ду20   пружинный STC;7;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;D0;144,23;276,29;0405-00002;&;0
00000001572;Клапан обратный  4001 Ду25   пружинный STC;6;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;D0;213,5;382,05;0405-00003;&;0
00000001573;Клапан обратный  4001 Ду32   пружинный STC;2;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;D1;296,12;514,91;0405-00004;&;0
00000001574;Клапан обратный  4001 Ду40   пружинный STC;4;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;P2;390,64;678,83;0405-00005;&;0
00000001575;Клапан обратный  4001 Ду50   пружинный STC;13;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;STC;S;P2;633,22;1 099,88;0405-00006;&;0
