b0100014132;Затвор дисковый поворотный  Ду300 Ру16 межфл рукоятка чуг.,диск-чуг,EPDМ,110С КВАНТ;1;Запорная арматура;Затворы;КВАНТ;S;P2;8 733,81;13 232;0303-00226;F;0
b0100005347;Паста уплотнительн 65гр Unipak;4;Изоляция и уплотнение;Уплотнительные материалы;Unipak;S;D0;141,78;220;1002-00235;&;0
b0100005239;Задвижка аналог МЗВ  чугун Ду50 Ру16 75С КНР;2;Запорная арматура;Задвижки;КНР;S;P2;2 088,43;2 996;0302-00079;0;0
b0100005275;Угольник PP-R комбинированн белый Дн25х3/4" НР ПК Контур 011411025200;129;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;51,2;110,1;0105-00029;@;0
b0100005277;Угольник PP-R комбинированн белый Дн25х1/2" НР ПК Контур 011411025100;22;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;39,94;85,9;0105-00777;@;0
b0100010491;Вакуум-клапан PP Ду50;6;Водоотведение;Трубы для внутреннего водоотведения и соед части;_;S;D0;61,35;92;0201-00555;&;0
b0100010621;Комплект  универ  монтажн Ду20 в блистере 7предметов Ogint;86;Отопительное оборудование;Радиаторы;Ogint;S;Pz;103,67;171,08;0502-00030;@;0
b0100010623;Радиатор биметалл M Series 500 6 секций 1,080кВт Ogint;15;Отопительное оборудование;Радиаторы;Ogint;S;D0;3 004,8;3 422,05;0502-00075;@;0
b0100013542;Резак для ПП труб JRF PC-207 ПК Контур (0-40мм)  012400207010;8;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;D0;465,05;1 000,1;1201-00644;&;0
b0100030517;Кран шаровой сталь DZT Ду65 Ру16 п/привар 150C Broen 4110216065;4;Запорная арматура;Краны;Broen;S;P2;3 031,57;4 286;0301-00457;F;0
b0100030627;Сифон для умывальника/мойки 1 1/2"х40/50 бутылочный с гофрой нерж/сетка АНИ С0115;10;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D0;103;153;0908-00041;&;0
b0100030698;Угольник ПНД компрессия  Дн32х3/4" НР Unidelta;2;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;Unidelta;Q;D0;74,89;99;0107-00685;&;0
b0100030699;Тройник ПНД компрессия  Дн32х1"х32 ВР Unidelta;8;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;Unidelta;Q;D0;84,74;112;0107-00686;&;0
b0100030700;Муфта ПНД компрессия  Дн20х1/2" НР Unidelta;10;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;Unidelta;Q;D0;28,56;38;0107-00687;&;0
b0100030702;Муфта ПНД компрессия  Дн25х3/4" НР Unidelta;6;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;Unidelta;Q;D0;30,73;46;0107-00689;&;0
b0100030799;Теплосчетчик Sensostar 2 обрат 1,5м3/ч Ду15 Engelmann;34;Приборы учета и КИП;Теплосчетчики;Engelmann;S;P2;6 503,39;9 393;0705-00411;0;0
b0100030817;Тройник ПНД компрессия  Дн50х32х50;18;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;_;Z;D0;215;286;0107-00693;&;0
b9300043373;Каболка (ведро, уд.вес 25 кг) 10мм;1;Изоляция и уплотнение;Уплотнительные материалы;_;S;P2;1 534;2 850;1002-00285;&;0
b9300043933;Труба PERT красный Дн16x2,0 для теплого пола бухта 100м ПК Контур 060100016000;1 000;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;ПК Контур;Z;D0;22,6;57,2;;&;0
b9300043978;Кран шаровой латунь 11б27п1 Ду25 ВР/нак.г полный проход рычаг БАЗ;10;Запорная арматура;Краны;БАЗ;Z;D0;384,75;510;0301-02414;&;0
b9300043979;Кран шаровой латунь 11б27п1 Ду25 ВР/НР рычаг БАЗ А300мр;196;Запорная арматура;Краны;БАЗ;Z;D0;265,33;378;0301-02204;&;0
b9300043980;Кран шаровой латунь 11б27п1 Ду20 ВР/НР рычаг БАЗ А300мр;190;Запорная арматура;Краны;БАЗ;Z;D0;151,78;220;0301-01220;&;0
b9300043981;Кран шаровой латунь 11б27п1 Ду15 ВР/НР рычаг БАЗ А300мр;166;Запорная арматура;Краны;БАЗ;Z;D0;98,38;138;0301-00300;&;0
b9300043982;Кран шаровой латунь 11б27п1 Ду20 ВР/НР бабочка БАЗ А301мр;174;Запорная арматура;Краны;БАЗ;Z;D0;151,78;212;0301-01221;&;0
b9300044066;Фильтр сетчатый латунь Ф-15Р Ду15 Ру16 ВР/ВР 120C ВЕНД;34;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;ВЕНД;Z;D0;110;165;;&;0
