b0100020399;Трубка ST 22/19 L=2м 105C K-Flex;92;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;116,64;200,88;;&;0;0
b0100020400;Трубка ST 32/22 L=2м 105C K-Flex;6;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;338,59;362;;&;0;6
b0100020402;Трубка ST 28/9 L=2м 105C K-Flex;26;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D1;56,44;90;1001-00172;&;0;0
b0100020403;Трубка ST 28/13 L=2м 105C K-Flex;3 219;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;68,68;118,28;1001-00173;&;0;0
b0100020404;Трубка ST 28/19 L=2м 105C K-Flex;81;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;146,73;234;1001-00174;&;0;0
b0100020405;Трубка ST 28/32 L=2м 105C K-Flex;2;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;378,01;687,88;;@;0;1
b0100020409;Трубка ST 35/19 L=2м 105C K-Flex;93;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;180,61;288,02;1001-00178;&;0;0
b0100020410;Трубка ST 35/25 L=2м 105C K-Flex;12;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;307,02;329;1001-00094;&;0;6
b0100020414;Трубка ST 42/9 L=2м 105C K-Flex;20;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D2;74,52;118,82;1001-00155;&;0;0
b0100020416;Трубка ST 42/19 L=2м 105C K-Flex;11;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D0;215,18;343,14;1001-00157;&;0;0
b0100020417;Трубка ST 42/25 L=2м 105C K-Flex;39;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;428,65;536;1001-00158;@;0;1
b0100020420;Трубка ST 48/13 L=2м 105C K-Flex;145;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;110,9;176,82;1001-00160;&;0;0
b0100020425;Трубка ST 54/13 L=2м 105C K-Flex;14;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D1;139,52;222,5;1001-00163;&;0;0
b0100020426;Трубка ST 54/19 L=2м (не используется) 105C K-Flex;2;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Q;NL;234,47;251;;&;0;0
b0100020427;Трубка ST 60/9 L=2м 105C K-Flex;37;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D0;105,22;181,22;1001-00164;&;0;0
b0100020437;Трубка ST 64/13 L=2м 105C K-Flex;45;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;159,8;275,18;1001-00096;@;0;1
b0100020439;Трубка ST 76/13 L=2м 105C K-Flex;357;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;181,65;289,68;1001-00149;&;0;0
b0100020440;Трубка ST 76/19 L=2м 105C K-Flex;204;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;346,87;597,4;1001-00150;&;0;0
b0100020442;Трубка ST 76/32 L=2м 105C K-Flex;4;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;831,14;889;;&;0;6
b0100020443;Трубка ST 89/9 L=2м 105C K-Flex;20;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D1;163,29;302,42;1001-00151;&;0;0
b0100020444;Трубка ST 89/13 L=2м 105C K-Flex;106;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;227,43;362,66;1001-00152;&;0;0
b0100020445;Трубка ST 89/19 L=2м 105C K-Flex;8;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D0;379,54;653,64;1001-00153;&;0;0
b0100020447;Трубка ST 89/32 L=2м 105C K-Flex;27;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;930,03;995;;@;0;1
b0100020483;Трубка Solar HT 108/19 L=2м 150C K-Flex;4;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;916,41;981;;&;0;6
b0100020510;Клапан запорн сталь 15с22нж Ду25 Ру40 фл;0;Запорная арматура;Клапаны;_;Z;D0;2 947,96;3 832;0304-00041;&;0;6
b0100020518;Трубка Solar HT 48/13 L=2м 150C K-Flex;16;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;218,04;374,64;1001-00185;@;0;1
b0100020522;Трубка Solar HT 60/13 L=2м 150C K-Flex;3;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;279,38;492,37;1001-00187;@;0;1
b0100020523;Трубка Solar HT 60/19 L=2м 150C K-Flex;1;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;503,39;539;1001-00188;&;0;6
b0100020524;Трубка Solar HT 60/25 L=2м 150C K-Flex;2;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;643,14;688;;&;0;6
b0100020527;Трубка Solar HT 76/25 L=2м 150C K-Flex;2;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;766,1;820;1001-00108;&;0;6
b0100020529;Трубка Solar HT 89/13 L=2м 150C K-Flex;24;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;429,93;460;1001-00183;@;0;1
b0100020530;Трубка Solar HT 89/19 L=2м 150C K-Flex;5;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;708,27;758;1001-00184;&;0;6
b0100020531;Трубка Solar HT 89/25 L=2м 150C K-Flex;5;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;NL;1 184,44;1 449;1001-00107;@;0;1
b0100020580;Шкаф пожарн ШПК 320 НЗБ;0;Пожарное оборудование;Шкафы пожарные, устройства внутриквартирного пожаротушения и комплектующие;_;Z;D0;2 100;2 310;;&;0;8
b0100020660;Муфта PP-R комбинированн Дн32x1" НР ПК Контур 011211032300;84;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;78,4;168,6;0105-01176;@;0;0
b0100020700;Радиатор сталь панельный FKO 12 500х2000 2853,7Вт бок прав/лев Kermi;1;Отопительное оборудование;Радиаторы;Kermi;Q;NL;5 073,94;5 429;0502-01629;&;0;0
b0100020705;Клапан отсекающий  для монтажа воздухоотводчика никель 1/2" Valtec VT.539.N.04;47;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Valtec;Z;NL;45,14;54;0503-00312;@;0;1
b0100020759;Комплект монтажн Дн80 Wilo 2012067;4;Насосное оборудование;Комплектующие и аксессуары для насосов;Wilo;Z;NL;356,32;381;;@;0;2
b0100020782;Полка стекло угл Kvadro Fixsen FX-61303А;1;Сантехника;Мебель и аксессуары для ванной комнаты;Fixsen;Z;NL;368,16;394;0910-00348;&;0;6
b0100020900;Штуцер латунь Дн20х3/4" для PE-X ВР Uponor 1023011;38;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;S;P2;264,58;530;0104-00073;&;0;0
b0100020937;Тройник латунь никель Ду1"х1/2"х1" ВР General Fittings 270013N100410A;37;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;General Fittings;S;Pz;235,6;359,91;0111-01217;&;0;0
b0100020952;Воздухоотводчик Ду15 авт Danfoss 065B822300;116;Отопительное оборудование;Воздухоотводчики;Danfoss;S;Pz;296,13;446,47;0504-00025;&;0;0
b0100020999;Переход сталь Ду32х3,2-25х3,2 ПЗКТ;66;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;28;46;0101-01585;@;0;0
b0100021033;Кран шаровой BASE латунь VT.228 Ду1/2" ВР/НР полный проход бабочка угловой с полусгоном -30+150С Valtec VT.228.N.04;6;Запорная арматура;Краны;Valtec;Z;NL;250,83;279;0301-01946;@;0;1
b0100021040;Соединитель PPSU Дн20х3/4" alpex-duo пресс НР Fraenkische 88620763;488;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;Pz;120,29;251,44;0103-01023;@;0;0
b0100021042;Соединение PP-R муфт разъемн Дн32 ПК Контур 011317032010;2;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;97,56;209,8;0105-01177;@;0;1
